uuid,target
0,0.092780836
1,0.10721265
2,0.15525383
3,0.0538045
4,0.060717553
5,0.11583937
6,0.032909874
7,0.767859
8,0.42087567
9,0.112078235
10,0.12074539
11,0.024485145
12,0.11202377
13,-0.0015264427
14,0.17287281
15,0.1526083
16,0.053062584
17,0.0831431
18,0.11398541
19,0.014751736
20,0.15623458
21,0.022124419
22,0.11485322
23,0.06864718
24,0.035752174
25,0.017690938
26,0.107706174
27,0.35158858
28,0.11766641
29,0.15699878
30,0.086210236
31,0.092108704
32,0.027087884
33,0.3198967
34,0.41136038
35,0.12844968
36,0.26902366
37,0.015666898
38,0.39444548
39,0.13525651
40,0.08653592
41,0.09076039
42,0.0384002
43,0.05916739
44,0.13635416
45,0.13599356
46,0.15890202
47,-0.007196555
48,0.12977302
49,0.04918497
50,0.17886733
51,0.02152604
52,0.1704865
53,0.031403746
54,0.036585394
55,0.40486762
56,0.2352328
57,0.17116542
58,0.114019334
59,0.36194298
60,0.08641222
61,0.069921
62,0.030875247
63,0.08245005
64,0.044963274
65,0.16968907
66,0.13706706
67,0.07526949
68,0.007826491
69,0.33454078
70,0.029655023
71,0.0021480527
72,0.12086838
73,-0.0077257673
74,0.08981236
75,0.018395962
76,0.11047556
77,0.10403792
78,0.22102804
79,0.14519955
80,0.019512895
81,0.052562084
82,0.009083262
83,0.15174666
84,0.030543046
85,0.046610538
86,0.19785091
87,0.10161308
88,0.00922739
89,0.10435558
90,0.07326312
91,0.08181131
92,0.20979045
93,0.06580172
94,0.03132625
95,0.014623187
96,0.46974477
97,-0.010023689
98,-0.004451121
99,0.09208703
100,0.3973419
101,0.009586562
102,0.03725114
103,0.054151732
104,0.031941652
105,0.037433434
106,0.07986152
107,0.13410826
108,0.48434395
109,0.14690599
110,0.025660325
111,0.056902785
112,0.074121185
113,0.15526657
114,0.14202754
115,0.118878335
116,0.060593393
117,0.037793703
118,0.16214469
119,0.14355905
120,0.20645021
121,0.10823267
122,0.09449735
123,0.10706
124,0.45086125
125,0.012621885
126,0.8205312
127,-0.023635508
128,0.09469593
129,0.016214343
130,0.10612315
131,0.65662324
132,0.12289172
133,0.132372
134,0.08814103
135,0.10456696
136,0.11259115
137,0.1347251
138,0.10473747
139,0.09512731
140,0.07863029
141,0.15173715
142,0.3363822
143,0.058056314
144,0.08186318
145,0.00933612
146,0.07114728
147,0.01834608
148,0.038945783
149,0.066952534
150,0.0833166
151,0.09266575
152,0.03664561
153,0.12069961
154,0.02052623
155,0.12236237
156,0.11697252
157,0.05144127
158,0.20843114
159,0.122716345
160,0.06992582
161,0.035601273
162,0.06877035
163,0.13952006
164,0.06927253
165,0.118547976
166,0.21813515
167,0.10532805
168,0.035192817
169,0.027874522
170,0.12738611
171,0.10653554
172,-0.0034373
173,0.31192106
174,0.07634468
175,0.054719605
176,0.39851427
177,0.1813522
178,0.1905725
179,0.14895776
180,0.1881292
181,0.17156363
182,0.105796725
183,0.0203517
184,0.42327115
185,0.01021753
186,0.054143332
187,-0.00018255101
188,0.079903774
189,0.10181669
190,0.11071669
191,-0.0201108
192,0.108264774
193,0.06491544
194,0.1096134
195,-0.0010276497
196,0.0427215
197,0.3156041
198,0.047620207
199,0.06891192
200,0.011588763
201,0.08594449
202,0.10237549
203,0.19633405
204,0.084693246
205,0.065983996
206,0.22156627
207,0.16550715
208,0.10942021
209,0.099607415
210,0.040234786
211,0.08868452
212,0.0872073
213,0.6362746
214,0.045649227
215,0.07863236
216,0.04198
217,0.20772299
218,0.7335828
219,0.5591634
220,0.2701702
221,0.06538423
222,0.035848316
223,0.07916158
224,0.15842848
225,0.026748449
226,0.028836861
227,0.07145817
228,0.041849855
229,0.0074712825
230,0.10978573
231,0.004939881
232,0.22045109
233,0.12775773
234,0.04399003
235,0.07754979
236,0.12517248
237,0.16043301
238,0.05326025
239,0.08496463
240,0.10873103
241,0.33609492
242,0.20481722
243,0.17998677
244,0.03642553
245,0.049431585
246,0.11657841
247,0.35542175
248,0.030475544
249,0.032357987
250,-0.021090118
251,0.20238884
252,0.39150634
253,0.02301534
254,0.052046854
255,0.07131381
256,0.046252653
257,0.114553876
258,0.053226408
259,0.14198373
260,0.07712668
261,0.22688179
262,0.07103173
263,0.02780228
264,0.51450694
265,0.1073249
266,0.10195738
267,0.14031707
268,0.39093336
269,0.18250643
270,0.077540524
271,0.11528295
272,0.096334934
273,0.30751452
274,0.83960384
275,0.029994575
276,0.07038617
277,0.11930944
278,0.042226
279,0.041782193
